locus_tag	ftype	length_bp	gene	EC_number	COG	product
PCGOOAAK_00064	CDS	867	rhaR_2			HTH-type transcriptional activator RhaR
PCGOOAAK_00065	CDS	294				hypothetical protein
PCGOOAAK_00066	CDS	300				hypothetical protein
PCGOOAAK_00067	CDS	306				hypothetical protein
PCGOOAAK_00068	CDS	783				hypothetical protein
PCGOOAAK_00069	CDS	702				hypothetical protein
PCGOOAAK_00070	CDS	1110				hypothetical protein
PCGOOAAK_00071	CDS	222				hypothetical protein
PCGOOAAK_00072	CDS	1062				hypothetical protein
PCGOOAAK_00073	CDS	210				hypothetical protein
PCGOOAAK_00074	CDS	216				hypothetical protein
PCGOOAAK_00075	CDS	1770	topB_1	5.6.2.1	COG0550	DNA topoisomerase 3
PCGOOAAK_00076	CDS	261				hypothetical protein
PCGOOAAK_00077	CDS	1818				hypothetical protein
PCGOOAAK_00078	CDS	93				hypothetical protein
PCGOOAAK_00079	CDS	3312	lacZ_1	3.2.1.23		Beta-galactosidase
PCGOOAAK_00080	CDS	3063				TonB-dependent receptor P3
PCGOOAAK_00081	CDS	1632				SusD-like protein
PCGOOAAK_00082	CDS	903				hypothetical protein
PCGOOAAK_00083	CDS	1794				hypothetical protein
PCGOOAAK_00084	CDS	1584		3.1.6.-	COG3119	N-acetylglucosamine-6-O-sulfatase
PCGOOAAK_00085	CDS	1173	dhaT_1	1.1.1.202	COG1454	1,3-propanediol dehydrogenase
PCGOOAAK_00086	CDS	3972	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
PCGOOAAK_00087	CDS	3099				TonB-dependent receptor P3
PCGOOAAK_00088	CDS	2037				hypothetical protein
PCGOOAAK_00089	CDS	1725				hypothetical protein
PCGOOAAK_00090	CDS	555				hypothetical protein
PCGOOAAK_00091	CDS	1824		3.2.1.178		Beta-porphyranase A
PCGOOAAK_00092	CDS	2187		3.2.1.178		Beta-porphyranase A
PCGOOAAK_00093	CDS	1311				hypothetical protein
PCGOOAAK_00094	CDS	195				hypothetical protein
PCGOOAAK_00095	CDS	966		3.2.1.178		Beta-porphyranase B
PCGOOAAK_00096	CDS	492				hypothetical protein
PCGOOAAK_00097	CDS	513				hypothetical protein
PCGOOAAK_00098	CDS	1731				hypothetical protein
PCGOOAAK_00099	CDS	2313				hypothetical protein
PCGOOAAK_00100	CDS	1572				hypothetical protein
PCGOOAAK_00101	CDS	549				hypothetical protein
PCGOOAAK_00102	CDS	174				hypothetical protein
PCGOOAAK_00103	CDS	384		5.1.3.29		L-fucose mutarotase
PCGOOAAK_00104	CDS	933	fdh_1	1.1.1.122		D-threo-aldose 1-dehydrogenase
PCGOOAAK_00105	CDS	924				hypothetical protein
PCGOOAAK_00106	CDS	1254	fucP_1		COG0738	L-fucose-proton symporter
PCGOOAAK_00107	CDS	1017	yjmD_1	1.-.-.-	COG1063	putative zinc-type alcohol dehydrogenase-like protein YjmD
PCGOOAAK_00108	CDS	1443	uxaB_1	1.1.1.58	COG0246	Altronate oxidoreductase
PCGOOAAK_00109	CDS	1488	uxaA_1	4.2.1.7	COG2721	Altronate dehydratase
PCGOOAAK_00110	CDS	2556		3.2.1.23	COG3250	Beta-galactosidase BoGH2A
PCGOOAAK_00111	CDS	2523		3.2.1.23	COG3250	Beta-galactosidase BoGH2A
PCGOOAAK_00112	CDS	1209				hypothetical protein
PCGOOAAK_00113	CDS	951		3.2.1.81		Beta-agarase
PCGOOAAK_00114	CDS	1563	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
PCGOOAAK_00115	CDS	726	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
PCGOOAAK_00116	CDS	1284	zraR_1		COG2204	Transcriptional regulatory protein ZraR
PCGOOAAK_00117	CDS	414				hypothetical protein
PCGOOAAK_00118	CDS	1200				hypothetical protein
PCGOOAAK_00119	CDS	1653				hypothetical protein
PCGOOAAK_00120	CDS	924				hypothetical protein
PCGOOAAK_00121	CDS	1263				hypothetical protein
PCGOOAAK_00122	CDS	423				hypothetical protein
PCGOOAAK_00123	CDS	753				hypothetical protein
PCGOOAAK_00124	CDS	438				hypothetical protein
PCGOOAAK_00125	CDS	375				hypothetical protein
PCGOOAAK_00126	CDS	660				hypothetical protein
PCGOOAAK_00127	CDS	297				hypothetical protein
PCGOOAAK_00128	CDS	324				hypothetical protein
PCGOOAAK_00129	CDS	2520				hypothetical protein
PCGOOAAK_00130	CDS	615				hypothetical protein
PCGOOAAK_00131	CDS	360				hypothetical protein
PCGOOAAK_00132	CDS	630				hypothetical protein
PCGOOAAK_00133	CDS	1014				hypothetical protein
PCGOOAAK_00134	CDS	624				hypothetical protein
PCGOOAAK_00135	CDS	318				hypothetical protein
PCGOOAAK_00136	CDS	1305				hypothetical protein
PCGOOAAK_00137	CDS	915				hypothetical protein
PCGOOAAK_00138	CDS	558				hypothetical protein
PCGOOAAK_00139	CDS	861				hypothetical protein
PCGOOAAK_00140	CDS	504				hypothetical protein
PCGOOAAK_00141	CDS	456				hypothetical protein
PCGOOAAK_00142	CDS	348				hypothetical protein
PCGOOAAK_00143	CDS	306				hypothetical protein
PCGOOAAK_00144	CDS	336				hypothetical protein
PCGOOAAK_00145	CDS	759				hypothetical protein
PCGOOAAK_00146	CDS	1935				hypothetical protein
PCGOOAAK_00147	CDS	594				hypothetical protein
PCGOOAAK_00148	CDS	267				hypothetical protein
PCGOOAAK_00149	CDS	891				hypothetical protein
PCGOOAAK_00150	CDS	720				hypothetical protein
PCGOOAAK_00151	CDS	813				hypothetical protein
PCGOOAAK_00152	CDS	270				hypothetical protein
PCGOOAAK_00153	CDS	939				hypothetical protein
PCGOOAAK_00154	CDS	294				hypothetical protein
PCGOOAAK_00155	CDS	978				hypothetical protein
PCGOOAAK_00156	CDS	345				hypothetical protein
PCGOOAAK_00157	CDS	156				hypothetical protein
PCGOOAAK_00158	CDS	618				hypothetical protein
PCGOOAAK_00159	CDS	882				hypothetical protein
PCGOOAAK_00160	CDS	1170				hypothetical protein
PCGOOAAK_00161	CDS	1221	xerC_3			Tyrosine recombinase XerC
PCGOOAAK_00162	tRNA	74				tRNA-Lys(ttt)
PCGOOAAK_00163	CDS	1644	yheS_1		COG0488	putative ABC transporter ATP-binding protein YheS
PCGOOAAK_00164	CDS	960				hypothetical protein
PCGOOAAK_00165	CDS	1842	rlhA		COG0826	23S rRNA 5-hydroxycytidine synthase
PCGOOAAK_00166	CDS	924	metAA	2.3.1.31	COG1897	Homoserine O-acetyltransferase
PCGOOAAK_00167	CDS	894	cynR			HTH-type transcriptional regulator CynR
PCGOOAAK_00168	CDS	522				hypothetical protein
PCGOOAAK_00169	CDS	1455	katA	1.11.1.6		Catalase
PCGOOAAK_00170	CDS	1176				hypothetical protein
PCGOOAAK_00171	CDS	3114	czcA_1			Cobalt-zinc-cadmium resistance protein CzcA
PCGOOAAK_00172	CDS	1155	mdtA_1			Multidrug resistance protein MdtA
PCGOOAAK_00173	CDS	423				hypothetical protein
PCGOOAAK_00174	CDS	675				hypothetical protein
PCGOOAAK_00175	CDS	1542	glyQS	6.1.1.14		Glycine--tRNA ligase
PCGOOAAK_00176	CDS	798	phnP	3.1.4.55	COG1235	Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase
PCGOOAAK_00177	CDS	1026	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
PCGOOAAK_00178	CDS	828				hypothetical protein
PCGOOAAK_00179	CDS	1020	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
PCGOOAAK_00180	CDS	1200	cntE			Staphylopine export protein
PCGOOAAK_00181	CDS	1140				hypothetical protein
PCGOOAAK_00182	CDS	822	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
PCGOOAAK_00183	CDS	486	msrA1	1.8.4.11		Peptide methionine sulfoxide reductase MsrA 1
PCGOOAAK_00184	CDS	1062	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
PCGOOAAK_00185	CDS	1533	leuA_1	2.3.3.13	COG0119	2-isopropylmalate synthase
PCGOOAAK_00186	CDS	597	leuD1	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit 1
PCGOOAAK_00187	CDS	1398	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
PCGOOAAK_00188	CDS	1497	leuA_2	2.3.3.13	COG0119	2-isopropylmalate synthase
PCGOOAAK_00189	CDS	1173	pncB2	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase 2
PCGOOAAK_00190	CDS	1323				hypothetical protein
PCGOOAAK_00191	tRNA	75				tRNA-Ala(tgc)
PCGOOAAK_00192	tRNA	78				tRNA-Ile(gat)
PCGOOAAK_00193	CDS	504				hypothetical protein
PCGOOAAK_00194	CDS	1551				hypothetical protein
PCGOOAAK_00195	CDS	3156	susC_1			TonB-dependent receptor SusC
PCGOOAAK_00196	CDS	1269	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
PCGOOAAK_00197	CDS	459	perR_1		COG0735	Peroxide-responsive repressor PerR
PCGOOAAK_00198	CDS	669				hypothetical protein
PCGOOAAK_00199	CDS	1968				hypothetical protein
PCGOOAAK_00200	CDS	1824	recQ_1	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
PCGOOAAK_00201	CDS	1665				hypothetical protein
PCGOOAAK_00202	CDS	1236	gcdB_1	7.2.4.5	COG1883	Glutaconyl-CoA decarboxylase subunit beta
PCGOOAAK_00203	CDS	1860	oadA	7.2.4.2	COG0511	Oxaloacetate decarboxylase alpha chain
PCGOOAAK_00204	CDS	258	oadG	7.2.4.2		oxaloacetate decarboxylase gamma chain
PCGOOAAK_00205	CDS	504		1.-.-.-		Putative NAD(P)H nitroreductase
PCGOOAAK_00206	CDS	663				hypothetical protein
PCGOOAAK_00207	CDS	1662				hypothetical protein
PCGOOAAK_00208	CDS	1680	aspT_1			Aspartate/alanine antiporter
PCGOOAAK_00209	CDS	1911	icmF	5.4.99.13		Fused isobutyryl-CoA mutase
PCGOOAAK_00210	CDS	2154	mutB	5.4.99.2	COG1884	Methylmalonyl-CoA mutase large subunit
PCGOOAAK_00211	CDS	669				hypothetical protein
PCGOOAAK_00212	CDS	1254	yhaP		COG1668	putative protein YhaP
PCGOOAAK_00213	CDS	918	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
PCGOOAAK_00214	CDS	1293	adeP		COG2252	Adenine permease AdeP
PCGOOAAK_00215	CDS	705				hypothetical protein
PCGOOAAK_00216	CDS	2064				hypothetical protein
PCGOOAAK_00217	CDS	954	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
PCGOOAAK_00218	CDS	465	lrp		COG1522	Leucine-responsive regulatory protein
PCGOOAAK_00219	CDS	1287		2.5.1.-	COG2873	O-acetyl-L-homoserine sulfhydrylase
PCGOOAAK_00220	CDS	411	paaI	3.1.2.-	COG2050	Acyl-coenzyme A thioesterase PaaI
PCGOOAAK_00221	CDS	1053				hypothetical protein
PCGOOAAK_00222	CDS	1269	queA_1	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
PCGOOAAK_00223	CDS	504	idi	5.3.3.2		Isopentenyl-diphosphate Delta-isomerase
PCGOOAAK_00224	CDS	468	guaD	3.5.4.3	COG0590	Guanine deaminase
PCGOOAAK_00225	CDS	1638	groL		COG0459	60 kDa chaperonin
PCGOOAAK_00226	CDS	273	groS		COG0234	10 kDa chaperonin
PCGOOAAK_00227	CDS	2145	cslA_1	4.2.2.5		Chondroitinase-AC
PCGOOAAK_00228	CDS	1410				hypothetical protein
PCGOOAAK_00229	CDS	1365	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
PCGOOAAK_00230	CDS	678				hypothetical protein
PCGOOAAK_00231	CDS	1629				hypothetical protein
PCGOOAAK_00232	CDS	2253	topB_2	5.6.2.1	COG0550	DNA topoisomerase 3
PCGOOAAK_00233	CDS	1152				hypothetical protein
PCGOOAAK_00234	CDS	567				hypothetical protein
PCGOOAAK_00235	CDS	1374	mepA_1			Multidrug export protein MepA
PCGOOAAK_00236	CDS	93				hypothetical protein
PCGOOAAK_00237	CDS	2001	recD2_1	3.6.4.12		ATP-dependent RecD-like DNA helicase
PCGOOAAK_00238	CDS	612	yciO		COG0009	putative protein YciO
PCGOOAAK_00239	CDS	867	mscS		COG0668	Small-conductance mechanosensitive channel
PCGOOAAK_00240	CDS	1191	fprA	1.-.-.-	COG0426	Nitric oxide reductase
PCGOOAAK_00241	CDS	945				hypothetical protein
PCGOOAAK_00242	CDS	1140				Outer membrane protein 41
PCGOOAAK_00243	tRNA	72				tRNA-Gln(ctg)
PCGOOAAK_00244	tRNA	72				tRNA-Gln(ctg)
PCGOOAAK_00245	CDS	360	rsfS		COG0799	Ribosomal silencing factor RsfS
PCGOOAAK_00246	CDS	2031	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
PCGOOAAK_00247	CDS	858				hypothetical protein
PCGOOAAK_00248	CDS	1152	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
PCGOOAAK_00249	CDS	774	surE	3.1.3.5	COG0496	5'-nucleotidase SurE
PCGOOAAK_00250	CDS	768	soj_1	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
PCGOOAAK_00251	CDS	897	parB		COG1475	putative chromosome-partitioning protein ParB
PCGOOAAK_00252	CDS	783				hypothetical protein
PCGOOAAK_00253	CDS	1266				hypothetical protein
PCGOOAAK_00254	CDS	2280	spoT	3.1.7.2	COG0317	Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase
PCGOOAAK_00255	tmRNA	395	ssrA			transfer-messenger RNA, SsrA
PCGOOAAK_00256	CDS	1179	purH_1			Bifunctional purine biosynthesis protein PurH
PCGOOAAK_00257	CDS	549	csh	3.13.1.5		Carbon disulfide hydrolase
PCGOOAAK_00258	CDS	2295				hypothetical protein
PCGOOAAK_00259	CDS	594	purH_2		COG0138	Bifunctional purine biosynthesis protein PurH
PCGOOAAK_00260	CDS	1023	mbl		COG1077	Cell shape-determining protein Mbl
PCGOOAAK_00261	CDS	852				hypothetical protein
PCGOOAAK_00262	CDS	498				hypothetical protein
PCGOOAAK_00263	CDS	1851	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
PCGOOAAK_00264	CDS	1458	mrdB_1	2.4.1.129		Peptidoglycan glycosyltransferase MrdB
PCGOOAAK_00265	CDS	552				hypothetical protein
PCGOOAAK_00266	CDS	1398				hypothetical protein
PCGOOAAK_00267	CDS	1131				hypothetical protein
PCGOOAAK_00268	CDS	1284	clsA_1	2.7.8.-	COG1502	Major cardiolipin synthase ClsA
PCGOOAAK_00269	CDS	1002	mdh	1.1.1.37		Malate dehydrogenase
PCGOOAAK_00270	CDS	1575				hypothetical protein
PCGOOAAK_00271	CDS	1554	rcsC_4	2.7.13.3		Sensor histidine kinase RcsC
PCGOOAAK_00272	CDS	1131	xerC_4			Tyrosine recombinase XerC
PCGOOAAK_00273	CDS	645				hypothetical protein
PCGOOAAK_00274	CDS	375				hypothetical protein
PCGOOAAK_00275	CDS	1125				hypothetical protein
PCGOOAAK_00276	CDS	888				hypothetical protein
PCGOOAAK_00277	CDS	447				hypothetical protein
PCGOOAAK_00278	CDS	327				hypothetical protein
PCGOOAAK_00279	CDS	342				hypothetical protein
PCGOOAAK_00280	CDS	297				hypothetical protein
PCGOOAAK_00281	CDS	2769				hypothetical protein
PCGOOAAK_00282	CDS	411	rpoA_1	2.7.7.6		DNA-directed RNA polymerase subunit alpha
PCGOOAAK_00283	CDS	2550				hypothetical protein
PCGOOAAK_00284	CDS	723				hypothetical protein
PCGOOAAK_00285	CDS	606				hypothetical protein
PCGOOAAK_00286	CDS	768				hypothetical protein
PCGOOAAK_00287	CDS	1134				hypothetical protein
PCGOOAAK_00288	CDS	615				hypothetical protein
PCGOOAAK_00289	CDS	384				hypothetical protein
PCGOOAAK_00290	CDS	1152				hypothetical protein
PCGOOAAK_00291	CDS	354				hypothetical protein
PCGOOAAK_00292	CDS	813	dpnA	2.1.1.72		Modification methylase DpnIIB
PCGOOAAK_00293	CDS	852				hypothetical protein
PCGOOAAK_00294	CDS	513				hypothetical protein
PCGOOAAK_00295	CDS	672				hypothetical protein
PCGOOAAK_00296	CDS	483				hypothetical protein
PCGOOAAK_00297	CDS	2187				hypothetical protein
PCGOOAAK_00298	CDS	828				hypothetical protein
PCGOOAAK_00299	CDS	909				hypothetical protein
PCGOOAAK_00300	CDS	378				hypothetical protein
PCGOOAAK_00301	CDS	273				hypothetical protein
PCGOOAAK_00302	CDS	273				hypothetical protein
PCGOOAAK_00303	CDS	198				hypothetical protein
PCGOOAAK_00304	CDS	315				hypothetical protein
PCGOOAAK_00305	CDS	1299				hypothetical protein
PCGOOAAK_00306	CDS	480				hypothetical protein
PCGOOAAK_00307	CDS	150				hypothetical protein
PCGOOAAK_00308	CDS	516				hypothetical protein
PCGOOAAK_00309	CDS	510				hypothetical protein
PCGOOAAK_00310	CDS	285				hypothetical protein
PCGOOAAK_00311	CDS	795				hypothetical protein
PCGOOAAK_00312	CDS	759				hypothetical protein
PCGOOAAK_00313	CDS	225				hypothetical protein
PCGOOAAK_00314	CDS	1575				hypothetical protein
PCGOOAAK_00315	CDS	1449				hypothetical protein
PCGOOAAK_00316	CDS	1389				hypothetical protein
PCGOOAAK_00317	CDS	498				hypothetical protein
PCGOOAAK_00318	CDS	696				hypothetical protein
PCGOOAAK_00319	CDS	684				hypothetical protein
PCGOOAAK_00320	CDS	666				hypothetical protein
PCGOOAAK_00321	CDS	831				hypothetical protein
PCGOOAAK_00322	CDS	1806				hypothetical protein
PCGOOAAK_00323	CDS	2340				hypothetical protein
PCGOOAAK_00324	CDS	1548				hypothetical protein
PCGOOAAK_00325	CDS	177				hypothetical protein
PCGOOAAK_00326	CDS	609				hypothetical protein
PCGOOAAK_00327	CDS	1677				hypothetical protein
PCGOOAAK_00328	CDS	363				hypothetical protein
PCGOOAAK_00329	CDS	918				hypothetical protein
PCGOOAAK_00330	CDS	1782				hypothetical protein
PCGOOAAK_00331	CDS	2106				hypothetical protein
PCGOOAAK_00332	CDS	1005				hypothetical protein
PCGOOAAK_00333	CDS	2091	btuB_1			Vitamin B12 transporter BtuB
PCGOOAAK_00334	CDS	1140				hypothetical protein
PCGOOAAK_00335	CDS	981	hmuU		COG0609	Hemin transport system permease protein HmuU
PCGOOAAK_00336	CDS	768	fpuD	7.2.2.-	COG1120	Petrobactin import ATP-binding protein FpuD
PCGOOAAK_00337	CDS	1314	yhcG_1	3.1.-.-	COG4804	Putative nuclease YhcG
PCGOOAAK_00338	CDS	1728				Putative fimbrium tip subunit Fim1C
PCGOOAAK_00339	CDS	1842				hypothetical protein
PCGOOAAK_00340	CDS	1116				hypothetical protein
PCGOOAAK_00341	CDS	1017	yajO_1	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
PCGOOAAK_00342	CDS	849		1.-.-.-	COG0656	putative oxidoreductase/MSMEI_2347
PCGOOAAK_00343	CDS	858		1.-.-.-	COG0656	putative oxidoreductase/MSMEI_2347
PCGOOAAK_00344	CDS	1491				hypothetical protein
PCGOOAAK_00345	CDS	1458	smc			Chromosome partition protein Smc
PCGOOAAK_00346	CDS	843				hypothetical protein
PCGOOAAK_00347	CDS	579				hypothetical protein
PCGOOAAK_00348	CDS	399				hypothetical protein
PCGOOAAK_00349	CDS	447				hypothetical protein
PCGOOAAK_00350	CDS	1050				hypothetical protein
PCGOOAAK_00351	CDS	633				hypothetical protein
PCGOOAAK_00352	CDS	105				hypothetical protein
PCGOOAAK_00353	CDS	282	hup_1			DNA-binding protein HU
PCGOOAAK_00354	CDS	315				hypothetical protein
PCGOOAAK_00355	CDS	528				hypothetical protein
PCGOOAAK_00356	CDS	546		2.3.1.-		Putative acetyltransferase
PCGOOAAK_00357	CDS	750				hypothetical protein
PCGOOAAK_00358	CDS	543				hypothetical protein
PCGOOAAK_00359	CDS	792	linC	1.1.1.-	COG1028	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase
PCGOOAAK_00360	CDS	384				Single-stranded DNA-binding protein
PCGOOAAK_00361	CDS	234				hypothetical protein
PCGOOAAK_00362	CDS	288				hypothetical protein
PCGOOAAK_00363	CDS	258				hypothetical protein
PCGOOAAK_00364	CDS	297				hypothetical protein
PCGOOAAK_00365	CDS	333				hypothetical protein
PCGOOAAK_00366	CDS	177				hypothetical protein
PCGOOAAK_00367	CDS	294				hypothetical protein
PCGOOAAK_00368	CDS	2457				hypothetical protein
PCGOOAAK_00369	CDS	1476				hypothetical protein
PCGOOAAK_00370	CDS	2013				hypothetical protein
PCGOOAAK_00371	CDS	1671				SusD-like protein P38
PCGOOAAK_00372	CDS	3123				TonB-dependent receptor P3
PCGOOAAK_00373	CDS	1929		3.2.1.22		Retaining alpha-galactosidase
PCGOOAAK_00374	CDS	2130	dnaG_1	2.7.7.-		DNA primase
PCGOOAAK_00375	CDS	597	folE_1	3.5.4.16	COG0302	GTP cyclohydrolase 1
PCGOOAAK_00376	CDS	462				hypothetical protein
PCGOOAAK_00377	CDS	756	tpiA	5.3.1.1		Triosephosphate isomerase
PCGOOAAK_00378	CDS	1287				hypothetical protein
PCGOOAAK_00379	CDS	543				hypothetical protein
PCGOOAAK_00380	CDS	879				hypothetical protein
PCGOOAAK_00381	CDS	669				hypothetical protein
PCGOOAAK_00382	CDS	3066	rcsC_5	2.7.13.3		Sensor histidine kinase RcsC
PCGOOAAK_00383	CDS	882	pfkB	2.7.1.11	COG0524	ATP-dependent 6-phosphofructokinase
PCGOOAAK_00384	CDS	1161				hypothetical protein
PCGOOAAK_00385	CDS	2193	agaA_1	3.2.1.22		Alpha-galactosidase AgaA
PCGOOAAK_00386	CDS	1872				hypothetical protein
PCGOOAAK_00387	CDS	2349				hypothetical protein
PCGOOAAK_00388	CDS	1806	sacC	3.2.1.80	COG1621	Levanase
PCGOOAAK_00389	CDS	1737				hypothetical protein
PCGOOAAK_00390	CDS	3123	susC_2			TonB-dependent receptor SusC
PCGOOAAK_00391	CDS	828	lgt_1	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
PCGOOAAK_00392	CDS	597	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
PCGOOAAK_00393	CDS	900	ddh	1.4.1.16		Meso-diaminopimelate D-dehydrogenase
PCGOOAAK_00394	CDS	846				hypothetical protein
PCGOOAAK_00395	CDS	1224	namA	1.6.99.1	COG1902	NADPH dehydrogenase
PCGOOAAK_00396	CDS	921				hypothetical protein
PCGOOAAK_00397	CDS	1356				hypothetical protein
PCGOOAAK_00398	CDS	1887				hypothetical protein
PCGOOAAK_00399	CDS	3354	susC_3			TonB-dependent receptor SusC
PCGOOAAK_00400	CDS	1005				hypothetical protein
PCGOOAAK_00401	CDS	567	sigL		COG1595	ECF RNA polymerase sigma factor SigL
PCGOOAAK_00402	CDS	1845	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
PCGOOAAK_00403	CDS	573	sodB	1.15.1.1	COG0605	Superoxide dismutase [Fe]
PCGOOAAK_00404	CDS	2367				hypothetical protein
